 BusinessId , FinancialYearId , Revenue , TaxPayable 
 320 , 3 , 2106 , 11547 
 369 , 3 , 76024 , 14026 
 245 , 2 , 9983 , 8192 
 18 , 8 , 49487 , 34383 
 611 , 5 , 39035 , 15126 
 2 , 1 , 93986 , 4938 
 984 , 8 , 63022 , 9374 
 962 , 8 , 82252 , 4372 
 158 , 2 , 94131 , 2814 
 195 , 7 , 79485 , 12472 
 92 , 1 , 86922 , 226 
 191 , 2 , 30026 , 24776 
 124 , 1 , 90718 , 7685 
 111 , 1 , 83983 , 31751 
 733 , 6 , 89779 , 26306 
 102 , 1 , 63514 , 30156 
 840 , 7 , 13391 , 976 
 166 , 6 , 79560 , 10607 
 573 , 5 , 49008 , 20074 
 242 , 2 , 77569 , 16507 
 838 , 7 , 83807 , 25202 
 860 , 7 , 34586 , 22483 
 448 , 4 , 71750 , 9672 
 45 , 8 , 74559 , 33575 
 804 , 7 , 25798 , 12435 
 461 , 4 , 74517 , 15711 
 341 , 3 , 88310 , 20040 
 779 , 7 , 78928 , 24127 
 427 , 4 , 6041 , 4274 
 648 , 6 , 22434 , 34722 
 71 , 8 , 93392 , 20530 
 609 , 5 , 66094 , 4855 
 90 , 1 , 14476 , 28872 
 624 , 5 , 73274 , 5946 
 991 , 8 , 69652 , 7966 
 874 , 7 , 88280 , 3454 
 540 , 5 , 31632 , 31249 
 138 , 2 , 92604 , 28989 
 244 , 1 , 76760 , 32982 
 558 , 5 , 64262 , 19241 
 169 , 6 , 50726 , 23063 
 380 , 4 , 23367 , 933 
 867 , 7 , 83962 , 21600 
 84 , 3 , 25763 , 19050 
 787 , 7 , 83521 , 6363 
 520 , 5 , 94682 , 26221 
 830 , 7 , 45913 , 10882 
 542 , 5 , 29515 , 34583 
 130 , 5 , 71317 , 25030 
 163 , 2 , 94523 , 4882 
 635 , 6 , 49445 , 33165 
 554 , 5 , 71034 , 12817 
 20 , 3 , 83264 , 32327 
 250 , 2 , 10074 , 14853 
 801 , 7 , 87349 , 8480 
 264 , 4 , 67521 , 24065 
 922 , 8 , 4273 , 4354 
 47 , 3 , 35424 , 9618 
 193 , 2 , 23689 , 21947 
 178 , 2 , 64518 , 34416 
 662 , 6 , 5675 , 19898 
 206 , 2 , 84095 , 20248 
 535 , 5 , 76211 , 97 
 187 , 5 , 71696 , 3092 
 774 , 7 , 86093 , 26942 
 483 , 4 , 20827 , 30372 
 254 , 1 , 15550 , 30905 
 439 , 4 , 17443 , 1738 
 120 , 1 , 14330 , 23785 
 260 , 7 , 1499 , 22852 
 563 , 5 , 31882 , 33908 
 703 , 6 , 20787 , 6987 
 641 , 6 , 2800 , 12626 
 16 , 1 , 84746 , 832 
 148 , 5 , 26842 , 28444 
 48 , 4 , 60440 , 24269 
 189 , 8 , 50625 , 882 
 123 , 1 , 45987 , 25622 
 121 , 1 , 91038 , 27211 
 284 , 3 , 31116 , 21215 
 103 , 6 , 28603 , 4828 
 800 , 7 , 58794 , 20458 
 232 , 3 , 7611 , 34097 
 156 , 3 , 11518 , 34393 
 13 , 1 , 72990 , 1556 
 446 , 4 , 22358 , 7713 
 92 , 3 , 82830 , 7529 
 255 , 7 , 4402 , 14018 
 824 , 7 , 85926 , 32466 
 531 , 5 , 2131 , 18902 
 952 , 8 , 84007 , 34101 
 184 , 2 , 96208 , 21631 
 946 , 8 , 68915 , 7042 
 852 , 7 , 12241 , 33567 
 64 , 8 , 58586 , 34344 
 467 , 4 , 66632 , 2815 
 845 , 7 , 47157 , 835 
 357 , 3 , 12265 , 18507 
 552 , 5 , 39670 , 27108 
 305 , 3 , 62694 , 10992 
 419 , 4 , 79132 , 30316 
 391 , 4 , 28470 , 9144 
 422 , 4 , 15185 , 10798 
 663 , 6 , 69818 , 2177 
 601 , 5 , 62640 , 5974 
 932 , 8 , 28657 , 26178 
 913 , 8 , 68234 , 191 
 300 , 3 , 98519 , 31495 
 681 , 6 , 83232 , 21409 
 343 , 3 , 26909 , 19212 
 334 , 4 , 16896 , 23182 
 320 , 7 , 58287 , 13732 
 175 , 2 , 44386 , 17407 
 910 , 8 , 92573 , 732 
 284 , 5 , 35915 , 29587 
 17 , 7 , 46882 , 34441 
 950 , 8 , 76483 , 21151 
 271 , 3 , 64692 , 705 
 215 , 4 , 98707 , 1535 
 328 , 3 , 63735 , 19229 
 189 , 2 , 37997 , 22842 
 217 , 3 , 11148 , 16886 
 145 , 5 , 31518 , 4272 
 589 , 5 , 12199 , 4882 
 909 , 8 , 17492 , 23752 
 122 , 3 , 35674 , 12277 
 757 , 7 , 51873 , 34946 
 789 , 7 , 90560 , 14059 
 307 , 1 , 26160 , 1489 
 103 , 1 , 60210 , 25629 
 138 , 5 , 13282 , 23433 
 238 , 6 , 38359 , 17376 
 571 , 5 , 6317 , 33515 
 183 , 7 , 28344 , 16219 
 865 , 7 , 51984 , 25899 
 240 , 2 , 133 , 30685 
 378 , 4 , 43609 , 9659 
 593 , 5 , 37794 , 31919 
 94 , 6 , 48878 , 28418 
 81 , 1 , 44332 , 10379 
 534 , 5 , 54124 , 7522 
 242 , 8 , 84312 , 11034 
 160 , 2 , 21171 , 27610 
 481 , 4 , 59016 , 13254 
 155 , 1 , 85236 , 30720 
 153 , 2 , 25719 , 20369 
 986 , 8 , 51822 , 4223 
 37 , 1 , 76342 , 6309 
 95 , 3 , 76327 , 3979 
 35 , 1 , 11704 , 34903 
 518 , 5 , 90150 , 16664 
 574 , 5 , 82465 , 129 
 308 , 7 , 13559 , 16972 
 225 , 2 , 75935 , 7879 
 117 , 1 , 24696 , 23150 
 247 , 2 , 67984 , 13430 
 776 , 7 , 96952 , 4871 
 833 , 7 , 2985 , 5915 
 755 , 7 , 52325 , 13426 
 241 , 2 , 26966 , 28698 
 176 , 2 , 76785 , 26233 
 124 , 1 , 77674 , 21132 
 180 , 2 , 72358 , 30005 
 578 , 5 , 23021 , 30780 
 77 , 6 , 13626 , 30780 
 285 , 7 , 78537 , 5806 
 229 , 2 , 51970 , 15218 
 401 , 4 , 16041 , 1188 
 45 , 1 , 40588 , 9833 
 135 , 3 , 35781 , 33903 
 485 , 4 , 3272 , 24782 
 336 , 3 , 38689 , 24233 
 608 , 5 , 15813 , 7288 
 416 , 4 , 54374 , 26157 
 46 , 7 , 9610 , 11707 
 297 , 2 , 53686 , 11808 
 368 , 1 , 89977 , 24277 
 135 , 2 , 72502 , 26019 
 526 , 5 , 26964 , 9163 
 756 , 7 , 91774 , 3383 
 375 , 3 , 83853 , 8053 
 721 , 6 , 75531 , 28636 
 457 , 4 , 14232 , 10080 
 86 , 1 , 14456 , 1587 
 586 , 5 , 70061 , 8965 
 41 , 1 , 30818 , 23303 
 778 , 7 , 24799 , 403 
 347 , 3 , 30382 , 25635 
 144 , 6 , 3648 , 28069 
 708 , 6 , 84001 , 12469 
 465 , 4 , 3181 , 25814 
 206 , 5 , 40623 , 3744 
 259 , 7 , 85469 , 18493 
 424 , 4 , 21912 , 34720 
 80 , 8 , 67547 , 19147 
 410 , 4 , 76451 , 21390 
 816 , 7 , 11954 , 16030 
 216 , 5 , 98150 , 31830 
 752 , 7 , 45390 , 17474 
 235 , 2 , 6698 , 24914 
 924 , 8 , 73750 , 5150 
 585 , 5 , 35780 , 3035 
 210 , 8 , 35753 , 31476 
 53 , 1 , 40546 , 5077 
 550 , 5 , 8431 , 10121 
 161 , 2 , 51461 , 27431 
 966 , 8 , 66651 , 27842 
 444 , 4 , 59185 , 25816 
 431 , 4 , 66324 , 31173 
 439 , 8 , 71011 , 11342 
 56 , 1 , 78007 , 24153 
 311 , 6 , 24450 , 13852 
 308 , 3 , 76022 , 31753 
 269 , 8 , 60552 , 10043 
 866 , 7 , 43113 , 20645 
 455 , 4 , 1254 , 32597 
 667 , 6 , 63441 , 11051 
 95 , 1 , 57902 , 28418 
 993 , 8 , 52960 , 21815 
 689 , 6 , 82808 , 7477 
 52 , 1 , 53737 , 5402 
 205 , 8 , 21587 , 24583 
 701 , 6 , 12393 , 8119 
 296 , 3 , 56588 , 32365 
 435 , 7 , 32599 , 8088 
 940 , 8 , 62650 , 21038 
 519 , 5 , 53220 , 5740 
 150 , 2 , 93902 , 7569 
 511 , 5 , 86827 , 7009 
 385 , 4 , 33160 , 25317 
 375 , 4 , 41732 , 30778 
 521 , 5 , 91828 , 27447 
 384 , 4 , 27111 , 8544 
 291 , 3 , 20265 , 19249 
 396 , 7 , 18023 , 33233 
 791 , 7 , 48072 , 5017 
 729 , 6 , 39777 , 32160 
 405 , 4 , 73687 , 5003 
 536 , 5 , 6024 , 26467 
 425 , 4 , 18600 , 16534 
 75 , 1 , 64167 , 30462 
 335 , 3 , 65615 , 9588 
 917 , 8 , 64058 , 29463 
 777 , 7 , 32638 , 16726 
 73 , 6 , 5994 , 23316 
 327 , 7 , 78732 , 11961 
 237 , 2 , 64601 , 6991 
 66 , 7 , 24917 , 8449 
 278 , 5 , 78800 , 14074 
 180 , 4 , 66293 , 21551 
 140 , 6 , 13009 , 10338 
 722 , 6 , 54052 , 22612 
 362 , 5 , 45190 , 10015 
 251 , 1 , 62582 , 9997 
 183 , 2 , 52961 , 19512 
 42 , 1 , 52163 , 15568 
 884 , 8 , 23387 , 29916 
 655 , 6 , 79166 , 34112 
 485 , 2 , 7946 , 31989 
 151 , 5 , 45782 , 24083 
 642 , 6 , 98241 , 21691 
 782 , 7 , 72750 , 20272 
 142 , 8 , 72358 , 18806 
 46 , 1 , 33164 , 5855 
 29 , 5 , 29278 , 15564 
 301 , 5 , 86180 , 31707 
 258 , 3 , 97340 , 5308 
 18 , 1 , 55757 , 12503 
 167 , 2 , 42528 , 11810 
 479 , 1 , 95041 , 15627 
 1 , 6 , 61477 , 437 
 360 , 3 , 89755 , 6048 
 6 , 5 , 51877 , 1951 
 568 , 5 , 34360 , 5280 
 615 , 5 , 18640 , 12015 
 717 , 6 , 88123 , 30814 
 967 , 8 , 57529 , 30120 
 925 , 8 , 79755 , 26393 
 147 , 6 , 50594 , 9049 
 457 , 8 , 53867 , 31128 
 704 , 6 , 98049 , 14046 
 347 , 6 , 28302 , 32291 
 627 , 6 , 15101 , 28495 
 60 , 1 , 20534 , 20459 
 499 , 6 , 20151 , 14979 
 657 , 6 , 87680 , 8165 
 933 , 8 , 46637 , 17432 
 321 , 3 , 64530 , 33548 
 109 , 1 , 67305 , 34738 
 474 , 7 , 65861 , 17664 
 7 , 8 , 24685 , 10102 
 508 , 1 , 60612 , 33049 
 169 , 2 , 65740 , 8014 
 927 , 8 , 60243 , 2383 
 784 , 7 , 20359 , 29843 
 293 , 3 , 91418 , 10189 
 141 , 4 , 93257 , 25782 
 871 , 7 , 30894 , 23608 
 177 , 2 , 3359 , 1162 
 118 , 1 , 19814 , 26610 
 567 , 5 , 81393 , 6653 
 70 , 2 , 8844 , 29488 
 279 , 6 , 82389 , 31639 
 304 , 4 , 83759 , 33448 
 726 , 6 , 4815 , 21113 
 382 , 4 , 23254 , 4289 
 288 , 2 , 2174 , 20661 
 21 , 1 , 10829 , 4734 
 261 , 4 , 43941 , 32982 
 349 , 4 , 64838 , 23698 
 530 , 1 , 94634 , 20448 
 960 , 8 , 43632 , 3522 
 969 , 8 , 28571 , 25063 
 244 , 2 , 54080 , 861 
 529 , 8 , 47733 , 10037 
 246 , 8 , 69939 , 24401 
 164 , 2 , 57648 , 26778 
 274 , 7 , 51824 , 33348 
 404 , 4 , 13012 , 25876 
 890 , 8 , 41599 , 7398 
 602 , 5 , 39542 , 14274 
 937 , 8 , 32810 , 6761 
 352 , 8 , 88452 , 12766 
 376 , 4 , 76668 , 29147 
 531 , 2 , 70356 , 5525 
 231 , 6 , 865 , 2388 
 110 , 1 , 24014 , 33035 
 13 , 6 , 91635 , 34568 
 220 , 7 , 14000 , 10437 
 323 , 3 , 27223 , 1826 
 291 , 3 , 94866 , 5031 
 96 , 1 , 26635 , 6512 
 102 , 6 , 76396 , 25231 
 512 , 5 , 30779 , 17439 
 267 , 4 , 72475 , 24475 
 174 , 4 , 89205 , 19558 
 9 , 1 , 45913 , 651 
 144 , 2 , 31343 , 30047 
 480 , 3 , 15718 , 34346 
 162 , 2 , 96897 , 10689 
 494 , 4 , 85506 , 22505 
 912 , 8 , 35808 , 12697 
 873 , 7 , 20588 , 565 
 523 , 6 , 2466 , 11039 
 42 , 6 , 71227 , 32217 
 948 , 8 , 81053 , 6579 
 106 , 1 , 32040 , 7986 
 516 , 8 , 11660 , 7153 
 546 , 1 , 12509 , 27346 
 823 , 7 , 50421 , 5442 
 276 , 2 , 33769 , 18411 
 528 , 5 , 41433 , 27435 
 12 , 4 , 17881 , 32732 
 265 , 3 , 61760 , 28764 
 160 , 5 , 80273 , 12335 
 630 , 6 , 48583 , 34893 
 218 , 3 , 20392 , 16722 
 297 , 3 , 5721 , 2492 
 569 , 3 , 13402 , 27923 
 74 , 1 , 3950 , 18725 
 129 , 4 , 99241 , 6255 
 328 , 5 , 10539 , 21093 
 497 , 2 , 96830 , 29298 
 79 , 2 , 16718 , 31156 
 152 , 2 , 69973 , 18666 
 980 , 8 , 67999 , 13935 
 266 , 3 , 67236 , 13291 
 535 , 4 , 97793 , 7623 
 2 , 7 , 81605 , 11386 
 423 , 4 , 58529 , 25479 
 114 , 8 , 24025 , 23749 
 12 , 1 , 26305 , 31731 
 275 , 5 , 36106 , 34002 
 219 , 2 , 16116 , 15187 
 397 , 4 , 56094 , 19894 
 691 , 6 , 3734 , 1577 
 383 , 1 , 12221 , 6195 
 268 , 3 , 85986 , 1726 
 660 , 6 , 5440 , 31930 
 105 , 2 , 89303 , 33946 
 503 , 5 , 68825 , 29403 
 563 , 2 , 12353 , 25882 
 222 , 5 , 79126 , 7222 
 554 , 8 , 63580 , 4995 
 466 , 2 , 93454 , 18416 
 788 , 7 , 53433 , 12596 
 628 , 6 , 8753 , 8781 
 354 , 3 , 14635 , 31468 
 459 , 1 , 50507 , 5104 
 797 , 7 , 23892 , 24583 
 149 , 2 , 68812 , 2836 
 712 , 6 , 40192 , 33160 
 829 , 7 , 17940 , 2124 
 261 , 3 , 11767 , 15621 
 303 , 7 , 97657 , 4434 
 964 , 8 , 74966 , 1411 
 675 , 6 , 38979 , 18400 
 748 , 6 , 3870 , 4409 
 115 , 4 , 32494 , 27373 
 737 , 6 , 3228 , 18281 
 682 , 6 , 13817 , 28288 
 519 , 6 , 34248 , 362 
 108 , 1 , 30056 , 30767 
 598 , 5 , 53980 , 1866 
 870 , 7 , 26395 , 16694 
 602 , 2 , 7464 , 21680 
 128 , 8 , 5327 , 28433 
 392 , 2 , 1765 , 17545 
 944 , 8 , 5666 , 8869 
 57 , 7 , 76539 , 10757 
 539 , 5 , 36361 , 28697 
 44 , 1 , 34407 , 14995 
 637 , 6 , 280 , 5562 
 565 , 1 , 24100 , 28977 
 590 , 5 , 35126 , 24322 
 540 , 2 , 86887 , 15373 
 919 , 8 , 31413 , 13871 
 276 , 3 , 33249 , 24302 
 942 , 8 , 23264 , 12740 
 364 , 3 , 16539 , 6070 
 352 , 3 , 59245 , 5154 
 580 , 8 , 52600 , 16824 
 351 , 3 , 47286 , 2519 
 22 , 1 , 57712 , 21804 
 152 , 3 , 89718 , 22643 
 258 , 2 , 83834 , 25590 
 493 , 2 , 8364 , 29607 
 280 , 3 , 24338 , 18381 
 86 , 4 , 18459 , 10752 
 434 , 4 , 81128 , 18483 
 190 , 1 , 64756 , 18178 
 317 , 3 , 8351 , 1785 
 482 , 7 , 53491 , 9353 
 448 , 8 , 2212 , 13649 
 611 , 5 , 75486 , 5657 
 157 , 7 , 34577 , 29041 
 62 , 1 , 82298 , 30115 
 312 , 1 , 25146 , 5355 
 93 , 1 , 37185 , 23302 
 522 , 1 , 85989 , 31736 
 350 , 7 , 48106 , 19164 
 403 , 4 , 6988 , 26236 
 434 , 4 , 8969 , 22599 
 119 , 2 , 73968 , 29347 
 230 , 2 , 87532 , 30887 
 130 , 2 , 34404 , 22841 
 76 , 1 , 39912 , 27597 
 58 , 6 , 93841 , 8147 
 734 , 6 , 76642 , 26300 
 555 , 5 , 10769 , 24061 
 502 , 1 , 43552 , 22541 
 400 , 4 , 5729 , 29098 
 806 , 7 , 80606 , 26670 
 127 , 2 , 15954 , 21303 
 468 , 4 , 43984 , 13126 
 770 , 7 , 61217 , 11464 
 626 , 3 , 86962 , 32844 
 422 , 1 , 72344 , 8963 
 426 , 3 , 64262 , 14223 
 629 , 6 , 42562 , 26104 
 943 , 8 , 99101 , 27074 
 710 , 6 , 80989 , 10052 
 418 , 7 , 83306 , 6792 
 467 , 5 , 24538 , 25387 
 88 , 7 , 11783 , 27580 
 292 , 2 , 28009 , 26911 
 616 , 3 , 80916 , 5641 
 713 , 6 , 98068 , 26914 
 290 , 5 , 48615 , 23320 
 685 , 6 , 548 , 30281 
 394 , 2 , 4589 , 20259 
 904 , 8 , 6267 , 8516 
 665 , 2 , 96065 , 1000 
 882 , 8 , 37276 , 16004 
 565 , 5 , 68434 , 21906 
 949 , 8 , 52257 , 13918 
 503 , 5 , 43631 , 29226 
 125 , 1 , 73318 , 8172 
 792 , 7 , 70181 , 25917 
 213 , 1 , 55313 , 34803 
 166 , 2 , 43922 , 32994 
 547 , 4 , 14524 , 21459 
 546 , 5 , 47697 , 27082 
 915 , 8 , 7690 , 21692 
 599 , 4 , 37576 , 30942 
 617 , 5 , 59026 , 24081 
 702 , 5 , 27746 , 10116 
 650 , 6 , 37537 , 23051 
 673 , 5 , 58229 , 522 
 694 , 7 , 14268 , 29193 
 489 , 4 , 47616 , 31197 
 976 , 8 , 9953 , 21151 
 669 , 6 , 60885 , 26132 
 429 , 4 , 94624 , 32198 
 393 , 1 , 86889 , 4661 
 271 , 1 , 67117 , 9111 
 268 , 6 , 23682 , 19444 
 899 , 8 , 84431 , 32212 
 417 , 4 , 62185 , 1766 
 604 , 8 , 59522 , 3976 
 862 , 7 , 53489 , 17199 
 658 , 3 , 41844 , 682 
 182 , 2 , 45225 , 19828 
 49 , 1 , 76094 , 31019 
 613 , 4 , 6180 , 3802 
 143 , 2 , 37285 , 14025 
 351 , 2 , 9665 , 28097 
 586 , 8 , 43330 , 10665 
 562 , 5 , 47521 , 34397 
 436 , 4 , 91727 , 34208 
 705 , 3 , 17585 , 17239 
 683 , 2 , 13643 , 24671 
 294 , 3 , 2163 , 18047 
 682 , 2 , 8948 , 14421 
 463 , 4 , 98640 , 28111 
 496 , 4 , 84577 , 5615 
 164 , 2 , 33292 , 17970 
 842 , 7 , 75616 , 20101 
 316 , 1 , 86963 , 29445 
 414 , 2 , 52757 , 3499 
 740 , 6 , 263 , 16795 
 120 , 5 , 43379 , 17591 
 174 , 2 , 39839 , 26392 
 533 , 7 , 34346 , 29127 
 197 , 2 , 52933 , 34085 
 711 , 2 , 94636 , 34109 
 438 , 2 , 45383 , 17384 
 78 , 6 , 1440 , 3803 
 766 , 7 , 50387 , 11343 
 234 , 4 , 1316 , 12794 
 171 , 3 , 28575 , 29475 
 604 , 5 , 59200 , 32014 
 709 , 6 , 11133 , 6405 
 813 , 7 , 10659 , 21941 
 260 , 3 , 1824 , 17604 
 803 , 7 , 2078 , 32312 
 267 , 3 , 69299 , 1630 
 357 , 4 , 71604 , 31064 
